category_value,category,locationdesc,location,year,avg_data_value
Juvenile,Age Group,Washington,WA,2019,0
NHOPI,Race,Washington,WA,2019,0
Adult,Age Group,Washington,WA,2018,25
Male,Gender,Washington,WA,2018,22
White,Race,Washington,WA,2018,14
Asian,Race,Washington,WA,2018,6
Not Hispanic,Ethnicity,Washington,WA,2018,6
Female,Gender,Washington,WA,2018,5
AINA,Race,Washington,WA,2018,4
NHOPI,Race,Washington,WA,2018,0
Black,Race,Washington,WA,2018,0
Hispanic,Ethnicity,Washington,WA,2018,0
Juvenile,Age Group,Washington,WA,2018,0
Adult,Age Group,Washington,WA,2017,6
Male,Gender,Washington,WA,2017,6
Black,Race,Washington,WA,2017,4
White,Race,Washington,WA,2017,3
Not Hispanic,Ethnicity,Washington,WA,2017,2
Female,Gender,Washington,WA,2017,0
NHOPI,Race,Washington,WA,2017,0
Hispanic,Ethnicity,Washington,WA,2017,0
AINA,Race,Washington,WA,2017,0
Juvenile,Age Group,Washington,WA,2017,0
Asian,Race,Washington,WA,2017,0
AINA,Race,Washington,WA,2016,6
Juvenile,Age Group,Washington,WA,2016,6
Female,Gender,Washington,WA,2016,4
Male,Gender,Washington,WA,2016,2
Adult,Age Group,Washington,WA,2016,0
Black,Race,Washington,WA,2016,0
NHOPI,Race,Washington,WA,2016,0
Asian,Race,Washington,WA,2016,0
White,Race,Washington,WA,2016,0
Hispanic,Ethnicity,Washington,WA,2015,0
Not Hispanic,Ethnicity,Washington,WA,2015,0
AINA,Race,Washington,WA,2015,0
NHOPI,Race,Washington,WA,2015,0
Male,Gender,Washington,WA,2015,0
Juvenile,Age Group,Washington,WA,2015,0
White,Race,Washington,WA,2015,0
Female,Gender,Washington,WA,2015,0
Asian,Race,Washington,WA,2015,0
Adult,Age Group,Washington,WA,2015,0
Black,Race,Washington,WA,2015,0
Adult,Age Group,Wisconsin,WI,2019,279
White,Race,Wisconsin,WI,2019,203
Male,Gender,Wisconsin,WI,2019,201
Female,Gender,Wisconsin,WI,2019,88
Black,Race,Wisconsin,WI,2019,75
Not Hispanic,Ethnicity,Wisconsin,WI,2019,47
AINA,Race,Wisconsin,WI,2019,11
Juvenile,Age Group,Wisconsin,WI,2019,11
Hispanic,Ethnicity,Wisconsin,WI,2019,2
NHOPI,Race,Wisconsin,WI,2019,0
Asian,Race,Wisconsin,WI,2019,0
Adult,Age Group,Wisconsin,WI,2018,33
Not Hispanic,Ethnicity,Wisconsin,WI,2018,30
Black,Race,Wisconsin,WI,2018,30
Male,Gender,Wisconsin,WI,2018,28
Female,Gender,Wisconsin,WI,2018,6
Hispanic,Ethnicity,Wisconsin,WI,2018,2
White,Race,Wisconsin,WI,2018,2
Asian,Race,Wisconsin,WI,2018,2
AINA,Race,Wisconsin,WI,2018,0
Juvenile,Age Group,Wisconsin,WI,2018,0
NHOPI,Race,Wisconsin,WI,2018,0
Adult,Age Group,Wisconsin,WI,2017,52
Male,Gender,Wisconsin,WI,2017,40
Not Hispanic,Ethnicity,Wisconsin,WI,2017,38
Black,Race,Wisconsin,WI,2017,28
White,Race,Wisconsin,WI,2017,19
Female,Gender,Wisconsin,WI,2017,14
Hispanic,Ethnicity,Wisconsin,WI,2017,6
AINA,Race,Wisconsin,WI,2017,6
Juvenile,Age Group,Wisconsin,WI,2017,2
Asian,Race,Wisconsin,WI,2017,0
NHOPI,Race,Wisconsin,WI,2017,0
Not Hispanic,Ethnicity,Wisconsin,WI,2016,23
Adult,Age Group,Wisconsin,WI,2016,23
Black,Race,Wisconsin,WI,2016,18
Male,Gender,Wisconsin,WI,2016,16
Female,Gender,Wisconsin,WI,2016,7
White,Race,Wisconsin,WI,2016,6
Hispanic,Ethnicity,Wisconsin,WI,2016,0
Juvenile,Age Group,Wisconsin,WI,2016,0
Asian,Race,Wisconsin,WI,2016,0
NHOPI,Race,Wisconsin,WI,2016,0
AINA,Race,Wisconsin,WI,2016,0
Not Hispanic,Ethnicity,Wisconsin,WI,2015,0
Hispanic,Ethnicity,Wisconsin,WI,2015,0
White,Race,West Virginia,WV,2019,56
Male,Gender,West Virginia,WV,2019,56
Adult,Age Group,West Virginia,WV,2019,56
Not Hispanic,Ethnicity,West Virginia,WV,2019,56
Female,Gender,West Virginia,WV,2019,0
Hispanic,Ethnicity,West Virginia,WV,2019,0
NHOPI,Race,West Virginia,WV,2019,0
AINA,Race,West Virginia,WV,2019,0
Asian,Race,West Virginia,WV,2019,0
Black,Race,West Virginia,WV,2019,0
Juvenile,Age Group,West Virginia,WV,2019,0
White,Race,Wyoming,WY,2018,52
Adult,Age Group,Wyoming,WY,2018,52
Not Hispanic,Ethnicity,Wyoming,WY,2018,52
Female,Gender,Wyoming,WY,2018,35
Male,Gender,Wyoming,WY,2018,18
Black,Race,Wyoming,WY,2018,0
AINA,Race,Wyoming,WY,2018,0
Asian,Race,Wyoming,WY,2018,0
Hispanic,Ethnicity,Wyoming,WY,2018,0
NHOPI,Race,Wyoming,WY,2018,0
Juvenile,Age Group,Wyoming,WY,2018,0
White,Race,Wyoming,WY,2017,18
Adult,Age Group,Wyoming,WY,2017,18
Hispanic,Ethnicity,Wyoming,WY,2017,18
Male,Gender,Wyoming,WY,2017,18
AINA,Race,Wyoming,WY,2017,0
Black,Race,Wyoming,WY,2017,0
Not Hispanic,Ethnicity,Wyoming,WY,2017,0
NHOPI,Race,Wyoming,WY,2017,0
Female,Gender,Wyoming,WY,2017,0
Juvenile,Age Group,Wyoming,WY,2017,0
Asian,Race,Wyoming,WY,2017,0
Adult,Age Group,Wyoming,WY,2016,53
Male,Gender,Wyoming,WY,2016,36
Black,Race,Wyoming,WY,2016,35
Not Hispanic,Ethnicity,Wyoming,WY,2016,18
Female,Gender,Wyoming,WY,2016,18
White,Race,Wyoming,WY,2016,18
NHOPI,Race,Wyoming,WY,2016,0
Asian,Race,Wyoming,WY,2016,0
Juvenile,Age Group,Wyoming,WY,2016,0
AINA,Race,Wyoming,WY,2016,0
Hispanic,Ethnicity,Wyoming,WY,2016,0
White,Race,Wyoming,WY,2015,0
Adult,Age Group,Wyoming,WY,2015,0
AINA,Race,Wyoming,WY,2015,0
Hispanic,Ethnicity,Wyoming,WY,2015,0
Male,Gender,Wyoming,WY,2015,0
Not Hispanic,Ethnicity,Wyoming,WY,2015,0
Asian,Race,Wyoming,WY,2015,0
Female,Gender,Wyoming,WY,2015,0
Black,Race,Wyoming,WY,2015,0
Juvenile,Age Group,Wyoming,WY,2015,0
NHOPI,Race,Wyoming,WY,2015,0
White,Race,Wyoming,WY,2014,53
Female,Gender,Wyoming,WY,2014,18
Juvenile,Age Group,Wyoming,WY,2014,18
Not Hispanic,Ethnicity,Wyoming,WY,2014,18
Asian,Race,Wyoming,WY,2014,0
Adult,Age Group,Wyoming,WY,2014,0
NHOPI,Race,Wyoming,WY,2014,0
Male,Gender,Wyoming,WY,2014,0
Black,Race,Wyoming,WY,2014,0
Hispanic,Ethnicity,Wyoming,WY,2014,0
AINA,Race,Wyoming,WY,2014,0
